view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories
1303,320.0,3.0,25.0,50.0,0,2,0,0,15
693,75.0,1.0,154.0,41.0,1,0,0,0,15
413,37.0,2.0,25.0,50.0,1,0,0,0,15
9716,59.0,2.0,25.0,50.0,1,0,0,0,15
148,69.0,2.0,25.0,50.0,1,0,0,0,15
779,69.0,2.0,25.0,50.0,1,0,0,0,15
804,122.0,2.0,25.0,50.0,1,0,0,0,15
3481,208.0,4.0,25.0,50.0,1,1,0,0,15
2578,159.0,8.0,25.0,50.0,1,4,0,0,15
1785,63.0,9.0,25.0,50.0,1,0,0,0,15
920,63.0,3.0,98.0,29.0,2,0,0,0,15
2353,59.0,1.0,25.0,50.0,2,0,0,0,15
3128,68.0,2.0,25.0,50.0,2,0,0,0,15
48414,63.0,6.0,25.0,50.0,2,0,0,0,15
1711,452.0,6.0,25.0,50.0,2,1,0,0,15
504,54.0,103.0,25.0,50.0,2,0,0,0,15
1285,60.0,1.0,25.0,50.0,3,0,0,0,15
1543,292.0,7.0,25.0,50.0,3,1,0,0,15
1527,53.0,1.0,63.0,30.0,4,0,0,0,15
9617,60.0,1.0,25.0,50.0,4,0,0,0,15
2084,367.0,3.0,25.0,50.0,4,1,0,0,15
2851,1130.0,19.0,25.0,50.0,4,1,0,0,15
4675,50.0,1.0,25.0,50.0,5,0,0,0,15
3931,63.0,4.0,25.0,50.0,6,0,0,0,15
7683,1470.0,8.0,25.0,50.0,6,0,0,0,15
2400,54.0,2.0,25.0,50.0,7,0,0,0,15
4085,134.0,5.0,25.0,50.0,9,1,0,0,15
3964,2091.0,18.0,25.0,50.0,9,1,0,0,15
2431,224.0,7.0,25.0,50.0,13,0,0,0,15
36453,63.0,2.0,25.0,50.0,14,0,0,0,15
10617,63.0,1.0,25.0,50.0,15,0,0,0,15
5859,413.0,45.0,25.0,50.0,15,1,0,0,15
